run_id,strategy,seed,step,state_before,state_after,locked
process__short_pulse__track__m10.0mhz__s20260906,short_pulse,20260906,5,verify,track,True
process__short_pulse__track__m10.0mhz__s20260906,short_pulse,20260906,6,track,verify,True
process__short_pulse__track__m10.0mhz__s20260906,short_pulse,20260906,7,verify,verify,True
process__short_pulse__track__m10.0mhz__s20260906,short_pulse,20260906,8,verify,lock,True
process__short_pulse__track__m10.0mhz__s20260906,short_pulse,20260906,9,lock,verify,True
process__short_pulse__track__m10.0mhz__s20260906,short_pulse,20260906,10,safe_stop,safe_stop,True
process__ramsey_baseline__track__m10.0mhz__s20260906,ramsey_baseline,20260906,0,acquire,track,True
process__ramsey_baseline__track__m10.0mhz__s20260906,ramsey_baseline,20260906,1,track,track,True
process__ramsey_baseline__track__m10.0mhz__s20260906,ramsey_baseline,20260906,2,track,track,True
process__ramsey_baseline__track__m10.0mhz__s20260906,ramsey_baseline,20260906,3,track,verify,True
process__ramsey_baseline__track__m10.0mhz__s20260906,ramsey_baseline,20260906,4,verify,track,True
process__ramsey_baseline__track__m10.0mhz__s20260906,ramsey_baseline,20260906,5,track,verify,True
process__ramsey_baseline__track__m10.0mhz__s20260906,ramsey_baseline,20260906,6,verify,track,True
process__ramsey_baseline__track__m10.0mhz__s20260906,ramsey_baseline,20260906,7,track,track,True
process__ramsey_baseline__track__m10.0mhz__s20260906,ramsey_baseline,20260906,8,track,verify,True
process__ramsey_baseline__track__m10.0mhz__s20260906,ramsey_baseline,20260906,9,verify,track,True
process__ramsey_baseline__track__m10.0mhz__s20260906,ramsey_baseline,20260906,10,track,verify,True
process__ramsey_baseline__track__m10.0mhz__s20260906,ramsey_baseline,20260906,11,verify,verify,True
process__ramsey_baseline__track__m10.0mhz__s20260906,ramsey_baseline,20260906,12,verify,lock,True
process__ramsey_baseline__track__m10.0mhz__s20260906,ramsey_baseline,20260906,13,lock,verify,True
process__ramsey_baseline__track__m10.0mhz__s20260906,ramsey_baseline,20260906,14,safe_stop,safe_stop,True
process__short_pulse__track__m10.0mhz__s20260907,short_pulse,20260907,0,acquire,track,True
process__short_pulse__track__m10.0mhz__s20260907,short_pulse,20260907,1,track,track,True
process__short_pulse__track__m10.0mhz__s20260907,short_pulse,20260907,2,track,track,True
process__short_pulse__track__m10.0mhz__s20260907,short_pulse,20260907,3,track,verify,True
process__short_pulse__track__m10.0mhz__s20260907,short_pulse,20260907,4,verify,track,True
process__short_pulse__track__m10.0mhz__s20260907,short_pulse,20260907,5,track,verify,True
process__short_pulse__track__m10.0mhz__s20260907,short_pulse,20260907,6,verify,track,True
process__short_pulse__track__m10.0mhz__s20260907,short_pulse,20260907,7,track,track,True
process__short_pulse__track__m10.0mhz__s20260907,short_pulse,20260907,8,track,track,True
process__short_pulse__track__m10.0mhz__s20260907,short_pulse,20260907,9,track,verify,True
process__short_pulse__track__m10.0mhz__s20260907,short_pulse,20260907,10,verify,track,True
process__short_pulse__track__m10.0mhz__s20260907,short_pulse,20260907,11,track,verify,True
process__short_pulse__track__m10.0mhz__s20260907,short_pulse,20260907,12,verify,track,True
process__short_pulse__track__m10.0mhz__s20260907,short_pulse,20260907,13,track,verify,True
process__short_pulse__track__m10.0mhz__s20260907,short_pulse,20260907,14,verify,verify,True
process__short_pulse__track__m10.0mhz__s20260907,short_pulse,20260907,15,verify,lock,True
process__short_pulse__track__m10.0mhz__s20260907,short_pulse,20260907,16,lock,verify,True
process__short_pulse__track__m10.0mhz__s20260907,short_pulse,20260907,17,safe_stop,safe_stop,True
process__ramsey_baseline__track__m10.0mhz__s20260907,ramsey_baseline,20260907,0,acquire,track,False
process__ramsey_baseline__track__m10.0mhz__s20260907,ramsey_baseline,20260907,1,track,track,False
process__ramsey_baseline__track__m10.0mhz__s20260907,ramsey_baseline,20260907,2,track,track,False
process__ramsey_baseline__track__m10.0mhz__s20260907,ramsey_baseline,20260907,3,track,verify,False
process__ramsey_baseline__track__m10.0mhz__s20260907,ramsey_baseline,20260907,4,verify,track,False
process__ramsey_baseline__track__m10.0mhz__s20260907,ramsey_baseline,20260907,5,track,verify,False
process__ramsey_baseline__track__m10.0mhz__s20260907,ramsey_baseline,20260907,6,verify,track,False
process__ramsey_baseline__track__m10.0mhz__s20260907,ramsey_baseline,20260907,7,track,verify,False
process__ramsey_baseline__track__m10.0mhz__s20260907,ramsey_baseline,20260907,8,verify,track,False
process__ramsey_baseline__track__m10.0mhz__s20260907,ramsey_baseline,20260907,9,track,verify,False
process__ramsey_baseline__track__m10.0mhz__s20260907,ramsey_baseline,20260907,10,verify,track,False
process__ramsey_baseline__track__m10.0mhz__s20260907,ramsey_baseline,20260907,11,track,verify,False
process__ramsey_baseline__track__m10.0mhz__s20260907,ramsey_baseline,20260907,12,verify,verify,False
process__ramsey_baseline__track__m10.0mhz__s20260907,ramsey_baseline,20260907,13,verify,track,False
process__ramsey_baseline__track__m10.0mhz__s20260907,ramsey_baseline,20260907,14,track,verify,False
process__ramsey_baseline__track__m10.0mhz__s20260907,ramsey_baseline,20260907,15,verify,track,False
process__ramsey_baseline__track__m10.0mhz__s20260907,ramsey_baseline,20260907,16,track,verify,False
process__ramsey_baseline__track__m10.0mhz__s20260907,ramsey_baseline,20260907,17,verify,track,False
process__ramsey_baseline__track__m10.0mhz__s20260907,ramsey_baseline,20260907,18,track,verify,False
process__ramsey_baseline__track__m10.0mhz__s20260907,ramsey_baseline,20260907,19,verify,track,False
process__ramsey_baseline__track__m10.0mhz__s20260907,ramsey_baseline,20260907,20,safe_stop,safe_stop,False
