import time: self [us] | cumulative | imported package
import time:      1113 |       1113 |                         scipy._lib.array_api_compat.common._linalg
import time:       791 |       1904 |                       scipy._lib.array_api_compat.numpy.linalg
import time:       496 |        496 |                         scipy._lib.array_api_compat.common._fft
import time:       965 |       1461 |                       scipy._lib.array_api_compat.numpy.fft
import time:       948 |     199008 |                     scipy._lib.array_api_compat.numpy
import time:       511 |        511 |                     scipy._lib._sparse
import time:       734 |        734 |                         pkgutil
import time:       457 |        457 |                           urllib
import time:      1299 |       1299 |                           ipaddress
import time:      1106 |       2862 |                         urllib.parse
import time:       492 |        492 |                           _pyrepl
import time:       582 |       1074 |                         _pyrepl.pager
import time:      1776 |       6444 |                       pydoc
import time:      1472 |       7916 |                     scipy._lib._docscrape
import time:      1281 |     211421 |                   scipy._lib._array_api
import time:       521 |        521 |                       scipy._lib.array_api_extra._lib
import time:       479 |        479 |                           scipy._lib.array_api_extra._lib._utils
import time:       442 |        442 |                             scipy._lib._array_api_compat_vendor
import time:       546 |        988 |                           scipy._lib.array_api_extra._lib._utils._compat
import time:       456 |        456 |                             scipy._lib.array_api_extra._lib._utils._typing
import time:       672 |       1127 |                           scipy._lib.array_api_extra._lib._utils._helpers
import time:       773 |       3366 |                         scipy._lib.array_api_extra._lib._at
import time:       787 |       4152 |                       scipy._lib.array_api_extra._lib._funcs
import time:       619 |       5291 |                     scipy._lib.array_api_extra._delegation
import time:       448 |        448 |                     scipy._lib.array_api_extra._lib._lazy
import time:       584 |       6322 |                   scipy._lib.array_api_extra
import time:      6161 |     223903 |                 scipy.special._support_alternative_backends
import time:       454 |        454 |                   scipy.special._input_validation
import time:       983 |        983 |                   scipy.special._specfun
import time:       721 |        721 |                   scipy.special._comb
import time:       685 |        685 |                   scipy.special._multiufuncs
import time:       473 |        473 |                   scipy._lib.deprecation
import time:      1063 |       4377 |                 scipy.special._basic
import time:      1723 |       1723 |                 scipy.special._logsumexp
import time:      3341 |       3341 |                       scipy.linalg._fblas
import time:       119 |        119 |                       scipy.linalg._cblas
import time:        35 |         35 |                       scipy.linalg._fblas_64
import time:       646 |       4140 |                     scipy.linalg.blas
import time:      1978 |       1978 |                       scipy.linalg._flapack
import time:        80 |         80 |                       scipy.linalg._clapack
